V01301 V04001 V04002 V04003 V12001_701 V13003_701
53614 2018 11 2 8.1000 55.3000 
53614 2018 11 3 6.1000 66.0000 
53614 2018 11 4 4.1000 67.0000 
53614 2018 11 5 3.8000 66.0000 
53614 2018 11 6 3.1000 45.8000 
53614 2018 11 7 3.0000 44.3000 
53614 2018 11 8 3.6000 49.3000 
53614 2018 11 9 4.1000 41.8000 
53614 2018 11 10 5.4000 48.0000 
53614 2018 11 11 2.9000 60.5000 
53614 2018 11 12 4.1000 60.0000 
53614 2018 11 13 4.8000 67.0000 
53614 2018 11 14 4.1000 52.8000 
53614 2018 11 15 0.7000 46.8000 
53614 2018 11 16 -1.4000 65.5000 
53614 2018 11 17 -1.1000 67.3000 
53614 2018 11 18 -0.5000 49.0000 
53614 2018 11 19 1.3000 49.3000 
53614 2018 11 20 -0.6000 44.5000 
53614 2018 11 21 -2.3000 46.0000 
53614 2018 11 22 -2.5000 56.0000 
53614 2018 11 23 -1.0000 52.3000 
53614 2018 11 24 0.3000 52.0000 
53614 2018 11 25 1.1000 52.5000 
53614 2018 11 26 4.2000 33.0000 
53614 2018 11 27 0.6000 44.3000 
53614 2018 11 28 1.0000 45.3000 
53614 2018 11 29 0.4000 52.0000 
53614 2018 11 30 1.9000 47.3000 
53614 2018 12 1 2.8000 55.5000 
53614 2018 12 2 0.2000 44.5000 
53614 2018 12 3 -3.1000 38.8000 
53614 2018 12 4 -6.1000 42.5000 
53614 2018 12 5 -4.1000 43.5000 
53614 2018 12 6 -8.7000 32.3000 
53614 2018 12 7 -13.5000 38.3000 
53614 2018 12 8 -13.8000 34.0000 
53614 2018 12 9 -10.7000 46.3000 
53614 2018 12 10 -8.5000 35.0000 
53614 2018 12 11 -11.6000 34.5000 
53614 2018 12 12 -9.8000 41.3000 
53614 2018 12 13 -8.2000 46.3000 
53614 2018 12 14 -6.1000 40.3000 
53614 2018 12 15 -4.5000 42.3000 
53614 2018 12 16 -0.8000 33.8000 
53614 2018 12 17 -4.6000 50.8000 
53614 2018 12 18 -3.0000 45.0000 
53614 2018 12 19 -2.7000 38.3000 
53614 2018 12 20 -3.1000 41.0000 
53614 2018 12 21 -5.3000 54.5000 
53614 2018 12 22 -4.7000 51.0000 
53614 2018 12 23 -9.6000 26.8000 
53614 2018 12 24 -8.6000 44.0000 
53614 2018 12 25 -6.6000 49.5000 
53614 2018 12 26 -7.1000 41.5000 
53614 2018 12 27 -13.4000 24.0000 
53614 2018 12 28 -15.3000 21.0000 
53614 2018 12 29 -13.7000 34.0000 
53614 2018 12 30 -11.4000 35.3000 
53614 2018 12 31 -9.9000 40.3000 
53614 2019 1 1 -10.4000 41.8000 
53614 2019 1 2 -8.2000 45.8000 
53614 2019 1 3 -7.8000 50.3000 
53614 2019 1 4 -8.4000 44.5000 
53614 2019 1 5 -6.8000 43.5000 
53614 2019 1 6 -6.2000 40.5000 
53614 2019 1 7 -5.9000 38.8000 
53614 2019 1 8 -8.2000 50.8000 
53614 2019 1 9 -7.5000 50.0000 
53614 2019 1 10 -8.3000 54.0000 
53614 2019 1 11 -8.2000 60.5000 
53614 2019 1 12 -5.8000 55.5000 
53614 2019 1 13 -5.7000 52.8000 
53614 2019 1 14 -6.3000 56.0000 
53614 2019 1 15 -11.6000 29.5000 
53614 2019 1 16 -10.6000 33.8000 
53614 2019 1 17 -8.8000 45.5000 
53614 2019 1 18 -4.9000 41.8000 
53614 2019 1 19 -3.5000 39.8000 
53614 2019 1 20 -7.1000 36.3000 
53614 2019 1 21 -8.2000 44.3000 
53614 2019 1 22 -6.5000 42.3000 
53614 2019 1 23 -4.9000 37.0000 
53614 2019 1 24 -4.3000 30.8000 
53614 2019 1 25 -5.3000 30.8000 
53614 2019 1 26 -5.6000 34.3000 
53614 2019 1 27 -3.8000 34.3000 
53614 2019 1 28 -4.7000 36.8000 
53614 2019 1 29 -2.1000 33.3000 
53614 2019 1 30 -5.9000 24.5000 
53614 2019 1 31 -8.3000 55.3000 
53614 2019 2 1 -7.8000 47.5000 
53723 2018 2 1 -9.3000 32.8000 
53723 2018 2 2 -14.7000 39.5000 
53723 2018 2 3 -14.4000 33.5000 
53723 2018 2 4 -13.0000 30.8000 
53723 2018 2 5 -11.4000 30.0000 
53723 2018 2 6 -10.3000 29.3000 
